CRN,Course,Title,Distribution,Time,Professor1,Professor2,Location,Day
14046,KOR 309 - 01,Advanced Korean,LL,01:30 pm - 02:40 pm,Sun-Hee Lee,,None,MR
10191,LAT 101 - 01,Beginning Latin I,None,08:50 am - 09:40 am,Raymond Starr,,None,MTWR
10511,LAT 200 - 01,Intermediate Latin I,LL,11:10 am - 12:20 pm; 10:10 am - 11:00 am,Elizabeth Young,,None,MR; W
14022,LAT 310 - 01,Roman Historical Myths,"HS, LL",01:30 pm - 02:40 pm,Raymond Starr,,None,MR
12284,LING 114 - 01,Introduction to Linguistics,EC,09:50 am - 11:00 am,Angela Carpenter,,None,TF
14052,LING 312 - 01,"Bilingualism:Lang,Mind&Culture","EC, SBA",01:30 pm - 04:00 pm,Angela Carpenter,,None,T
14176,MAS 115 - 01,Computing for Socio-Techno Web,MM,09:50 am - 11:00 am,Panagiotis Metaxas,,None,TF
14182,MAS 115 - 02,Computing for Socio-Techno Web,MM,11:00 am - 12:20 pm,Panagiotis Metaxas,,None,TF
14201,MAS 115 - D01,DSC: Comp for Socio-Techno Web,MM,08:30 am - 09:40 am,Stella Kakavouli,,None,R
14202,MAS 115 - D02,DSC: Comp for Socio-Techno Web,MM,09:50 am - 11:00 am,Stella Kakavouli,,None,R
14203,MAS 115 - D03,DSC: Comp for Socio-Techno Web,MM,11:10 am - 12:20 pm,Stella Kakavouli,,None,R
14204,MAS 115 - D04,DSC: Comp for Socio-Techno Web,MM,01:30 pm - 02:40 pm,Stella Kakavouli,,None,R
10516,MATH 101 - 01,Reasoning with Data,"MM, QRF",08:30 am - 09:40 am,Qing Wang,,None,TWF
10165,MATH 115 - 01,Calculus I,MM,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Charles Bu,,None,MR; W
10150,MATH 115 - 02,Calculus I,MM,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Charles Bu,,None,MR; W
10177,MATH 115 - 03,Calculus I,MM,08:30 am - 09:40 am,Karen Lange,,None,TWF
14091,MATH 115Z - 01,Applied Calculus,MM,09:50 am - 11:00 am,Stanley Chang,,None,TWF
10163,MATH 116 - 01,Calculus II,MM,08:30 am - 09:40 am,Helen Wang,,None,MWR
10172,MATH 116 - 02,Calculus II,MM,09:50 am - 11:00 am,Helen Wang,,None,MWR
10410,MATH 116 - 03,Calculus II,MM,11:10 am - 12:20 pm,Jonathan Tannenhauser,,None,MWR
10187,MATH 116 - 04,Calculus II,MM,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,None,,None,MR; W
10141,MATH 116 - 05,Calculus II,MM,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,None,,None,MR; W
11247,MATH 116 - 06,Calculus II,MM,11:10 am - 12:20 pm,Martin Magid,,None,TWF
13704,MATH 116 - 07,Calculus II,MM,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Philip Hirschhorn,,None,TF; W2
10139,MATH 120 - 01,Calculus IIA,MM,11:10 am - 12:20 pm,Alexander Diesl,,None,MWR
14038,MATH 201 - 01,FYS: Euler,MM,08:30 am - 09:40 am,Jonathan Tannenhauser,,None,MWR
10158,MATH 205 - 01,Multivariable Calculus,MM,11:10 am - 12:20 pm,Andrew Schultz,,None,MWR
10131,MATH 205 - 02,Multivariable Calculus,MM,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Andrew Schultz,,None,MR; W
10167,MATH 205 - 03,Multivariable Calculus,MM,08:30 am - 09:40 am,Megan Kerr,,None,TWF
11350,MATH 205 - 04,Multivariable Calculus,MM,09:50 am - 11:00 am,Megan Kerr,,None,TWF
10128,MATH 206 - 01,Linear Algebra,MM,09:50 am - 11:00 am,Alexander Diesl,,None,MWR
10267,MATH 206 - 02,Linear Algebra,MM,11:10 am - 12:20 pm,Frederic Shultz,,None,MWR
11002,MATH 215 - 01,Mathematics for the Sciences I,MM,08:30 am - 09:40 am,Oscar Fernandez,,None,MWR
12294,MATH 215 - 02,Mathematics for the Sciences I,MM,09:50 am - 11:00 am,Oscar Fernandez,,None,MWR
11580,MATH 220 - 01,Prob & Elem Statistics,"MM, QRF",11:10 am - 12:20 pm,Qing Wang,,None,TWF
10146,MATH 225 - 01,Combinatorics&Graph Theory,MM,08:30 am - 09:40 am,Frederic Shultz,,None,MWR
13311,MATH 225 - 02,Combinatorics&Graph Theory,MM,09:50 am - 11:00 am,Ann Trenk,,None,TWF
11405,MATH 302 - 01,Elements of Analysis I,MM,09:50 am - 11:00 am,Karen Lange,,None,TWF
13705,MATH 303 - 01,Tpc: Lebesgue Theory,MM,09:50 am - 11:00 am; 09:50 am - 11:00 am,Ismar Volic,,None,MR; W1
10152,MATH 305 - 01,Abstract Algebra,MM,11:10 am - 12:20 pm,Stanley Chang,,None,TWF
12122,MATH 307 - 01,Topology,MM,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Philip Hirschhorn,,None,TF; W2
14037,MATH 322 - 01,Advanced Linear Algebra,MM,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Ismar Volic,,None,MR; W1
14039,MATH 325 - 01,Graph Theory,MM,08:30 am - 09:40 am,Ann Trenk,,None,TWF
14157,ME/R 275 - 01,Desire from Dante to Milton,LL,02:50 pm - 04:00 pm,Francesca Southerden,,None,TF
13784,MUS 100 - 01,Musical Literacies,ARS,09:50 am - 11:00 am,David Russell,,None,MWR
10265,MUS 122 - 01,Harmonic Concepts Tonal Music,ARS,09:50 am - 11:00 am,Jenny Tang,,None,MWR
10110,MUS 200 - 01,Hist West Mus: I,ARS,11:10 am - 12:20 pm; 11:10 am - 12:20 pm,Claire Fontijn,,None,MR; W1
12212,MUS 202 - 01,History of Western Music III,ARS,11:10 am - 12:20 pm; 11:10 am - 12:20 pm,Gurminder Bhogal,,None,TF; W2
14058,MUS 210 - 01,Music and theGlobal Metropolis,ARS,09:50 am - 11:00 am,Kariann Goldschmitt,,None,TF
12213,MUS 220 - 01,Jazz Theory,ARS,01:30 pm - 04:00 pm,Katharine Miller,,None,T
12729,MUS 235 - 01,Tpc: French Piano Music,ARS,01:30 pm - 04:00 pm,Gurminder Bhogal,,None,T
14054,MUS 275 - 01,Cmptr Mus: Syn Tech&Comp Prac,ARS,02:50 pm - 04:00 pm,Jenny Johnson,,None,MR
13217,MUS 276 - 01,American Popular Music,ARS,11:10 am - 12:20 pm,Kariann Goldschmitt,,None,TF
13785,MUS 300 - 01,Sem:Tpc: Listening to Film,ARS,09:50 am - 11:00 am,Martin Brody,,None,TF
10950,MUS 315 - 01,Advanced Harmony,ARS,01:30 pm - 02:40 pm,Jenny Tang,,None,MR
14145,MUS 333 - 01,Postwar Modern,ARS,01:30 pm - 04:00 pm,Patricia Berman,; Martin Brody; Alice Friedman,None,T
12730,MUS 335 - 01,Tpc: French Piano Music,ARS,01:30 pm - 04:00 pm,Gurminder Bhogal,,None,T
10271,MUS 344 - 01,Performing Music,ARS,02:15 pm - 04:45 pm,David Russell,; Jenny Tang,None,W
11324,NEUR 100 - 01,Intro to Neuroscience w/Pract,"EC, NPS",09:50 am - 11:00 am,Marc Tetel,,None,MR
11325,NEUR 100 - L01,Pract: Intro to Neuroscience,"EC, NPS",01:30 pm - 02:40 pm,Virginia Quinan,,None,M
11326,NEUR 100 - L02,Pract: Intro to Neuroscience,"EC, NPS",03:10 pm - 04:20 pm,Virginia Quinan,,None,M
11351,NEUR 200 - 01,"Neur, Netwrks & Behavior w/Lab","EC, NPS",11:10 am - 12:20 pm,Sharon Gobes,,None,TF
11352,NEUR 200 - L01,"LAB:Neurons, Networks&Behavior","EC, NPS",02:15 pm - 05:45 pm,Virginia Quinan,,None,W
11353,NEUR 200 - L02,"LAB:Neurons, Networks&Behavior","EC, NPS",01:00 pm - 04:30 pm,Virginia Quinan,,None,R
11603,NEUR 300 - 01,Capstone Seminar Neuroscience,"EC, NPS",01:30 pm - 02:40 pm,Sara Wasserman,,None,MR
11604,NEUR 300 - 02,Capstone Seminar Neuroscience,"EC, NPS",09:50 am - 11:00 am,Michael Wiest,,None,TF
12785,NEUR 300 - 03,Capstone Seminar Neuroscience,"EC, NPS",02:15 pm - 04:45 pm,Sharon Gobes,,None,W
13713,NEUR 300 - 04,Capstone Seminar Neuroscience,"EC, NPS",06:30 pm - 09:00 pm,None,,None,W
14178,NEUR 310 - 01,Neuroethology: Decision Making,NPS,11:10 am - 12:20 pm,Sara Wasserman,,None,MR
14062,NEUR 315 - 01,Neuroendocrinology w/Lab,"EC, NPS",09:50 am - 11:00 am,Marc Tetel,,None,TF
14063,NEUR 315 - L01,LAB: Neuroendocrinology,"EC, NPS",12:30 pm - 04:00 pm,Marc Tetel,,None,T
14064,NEUR 335 - 01,Computational Neurosci w/LAB,"MM, NPS",09:50 am - 11:00 am,Michael Wiest,,None,MR
14065,NEUR 335 - L01,LAB: Computational Neurosci,"MM, NPS",12:30 pm - 04:00 pm,Michael Wiest,,None,R
11283,PEAC 104 - 01,Intro Peace/Conflict/Justice,"REP, SBA",08:30 am - 09:40 am,Lawrence Rosenwald,,None,MR
14159,PEAC 119 - 01,"FYS: Hiroshima, Nagasaki & Yus","HS, REP",02:15 pm - 04:45 pm,T. James Kodera,,None,W
14066,PEAC 205 - 01,Gender/War/Peacebuilding,SBA,09:50 am - 11:00 am,Catia Confortini,,None,TF
14211,PEAC 259 - 01,"Tpc:Womens Art&Activism,L-Amer",LL,11:10 am - 12:20 pm,Marjorie Agosin,,None,MR
13219,PEAC 304 - 01,Sem:TPC:TraumaConflctNarrative,None,02:50 pm - 04:00 pm,Catia Confortini,; Margaret Cezair-Thompson,None,TF
14096,PHIL 102 - 01,FYS: History of Marriage,REP,09:50 am - 12:20 pm,Julie Walsh,,None,W
10409,PHIL 103 - 01,Self&World:IntroMetaphy&Epist,EC,04:10 pm - 05:20 pm,Catherine Wearing,,None,MR
10160,PHIL 106 - 01,Intro to Moral Philosophy,REP,09:50 am - 11:00 am,Alison McIntyre,,None,MR
14094,PHIL 108 - 01,FYS: Friendship,REP,01:30 pm - 04:00 pm,Corinne Gartner,,None,F
13717,PHIL 200 - 01,Philosophy of Witchcraft,"EC, REP",09:50 am - 11:00 am,Julie Walsh,,None,TF
14093,PHIL 201 - 01,Ancient Greek Philosophy,"EC, REP",11:10 am - 12:20 pm,Corinne Gartner,,None,TF
13220,PHIL 203 - 01,Philosophy of Art,"ARS, EC",08:30 am - 09:40 am,Erich Matthes,,None,MR
10774,PHIL 215 - 01,Philosophy of Mind,EC,01:30 pm - 02:40 pm,Alison McIntyre,,None,MR
10174,PHIL 216 - 01,Logic,EC,02:50 pm - 04:00 pm,Catherine Wearing,,None,MR
14092,PHIL 226 - 01,Philosophy of Law,REP,09:50 am - 11:00 am,Helena de Bres,,None,TF
14095,PHIL 234 - 01,From Wilderness to Ruins,REP,11:10 am - 12:20 pm,Erich Matthes,,None,MR
14067,PHIL 342 - 01,Sem:Tpc: Liberalism,REP,01:30 pm - 04:00 pm,Helena de Bres,,None,T
10016,PHYS 104 - 01,Fundamentals Mechanics w/Lab,"MM, NPS",09:50 am - 11:00 am,Tracy McAskill,,None,MWR
10517,PHYS 104 - 02,Fundamentals Mechanics w/Lab,"MM, NPS",09:50 am - 11:00 am,Yue Hu,,None,TWF
10007,PHYS 104 - L01,LAB: Fundamentals of Mechanics,"MM, NPS",01:30 pm - 04:30 pm,Tracy McAskill,,None,M
10024,PHYS 104 - L02,LAB: Fundamentals of Mechanics,"MM, NPS",12:30 pm - 03:30 pm,Lauri Wardell,,None,T
10098,PHYS 104 - L03,LAB: Fundamentals of Mechanics,"MM, NPS",02:15 pm - 05:15 pm,Lauri Wardell,,None,W
10092,PHYS 104 - L04,LAB: Fundamentals of Mechanics,"MM, NPS",01:30 pm - 04:30 pm,Lauri Wardell,,None,R
11251,PHYS 106 - 01,"Fund. Elec,Magn,&Optics w/Lab","MM, NPS",08:30 am - 09:40 am,Jerome Fung,,None,TWF
11252,PHYS 106 - L01,LAB:PHYS 106 & 108,"MM, NPS",02:15 pm - 05:15 pm,George Caplan,,None,W
11323,PHYS 106 - L02,LAB:PHYS 106 & 108,"MM, NPS",01:30 pm - 04:30 pm,Glenn Stark,,None,R
11331,PHYS 106 - L03,LAB:PHYS 106 & 108,"MM, NPS",01:30 pm - 04:30 pm,George Caplan,,None,F
10094,PHYS 107 - 01,Princip& Applc.Mechanics w/Lab,"MM, NPS",09:50 am - 11:00 am,James Battat,,None,MWR
10069,PHYS 107 - 02,Princip& Applc.Mechanics w/Lab,"MM, NPS",11:10 am - 12:20 pm,Robert Berg,,None,TWF
10107,PHYS 107 - L01,LAB:Princip. & Applc.Mechanics,"MM, NPS",01:30 pm - 04:30 pm,James Battat,,None,M
10043,PHYS 107 - L02,LAB:Princip. & Applc.Mechanics,"MM, NPS",12:30 pm - 03:30 pm,James Battat,,None,T
10093,PHYS 107 - L03,LAB:Princip. & Applc.Mechanics,"MM, NPS",02:15 pm - 05:15 pm,Robert Berg,,None,W
11699,PHYS 107 - L04,LAB: Princip& Applc.Mechanics,"MM, NPS",01:30 pm - 04:30 pm,Robert Berg,,None,R
11304,PHYS 108 - 01," Applc Elec,Magn&Optics w/Lab","MM, NPS",11:10 am - 12:20 pm,Glenn Stark,,None,TWF
11305,PHYS 108 - L01,LAB:PHYS 106 & 108,"MM, NPS",02:15 pm - 05:15 pm,George Caplan,,None,W
11306,PHYS 108 - L02,LAB:PHYS 106 & 108,"MM, NPS",01:30 pm - 04:30 pm,Glenn Stark,,None,R
11332,PHYS 108 - L03,LAB:PHYS 106 & 108,"MM, NPS",01:30 pm - 04:30 pm,George Caplan,,None,F
10066,PHYS 202 - 01,Intro Quantum Mechanics w/Lab,"MM, QRF, NPS",11:10 am - 12:20 pm,Theodore Ducas,,None,MWR
11895,PHYS 202 - L01,LAB: Intro Quantum Mechanics,"MM, QRF, NPS",01:30 pm - 04:30 pm,Lauri Wardell,,None,M
12125,PHYS 202 - L02,LAB: Intro Quantum Mechanics,"MM, QRF, NPS",12:30 pm - 03:30 pm,Jerome Fung,,None,T
13446,PHYS 202 - L03,LAB: Intro Quantum Mechanics,"MM, QRF, NPS",02:15 pm - 05:15 pm,Jerome Fung,,None,W
14097,PHYS 265 - 01,Thinking Physics,"MM, NPS",02:50 pm - 04:00 pm,Theodore Ducas,,None,MR
10198,PHYS 302 - 01,Quantum Mechanics,"MM, NPS",02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Tracy McAskill,,None,TF; W
11896,PHYS 314 - 01,Electromagnetic Theory,"MM, NPS",01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,None,,None,MR; W
14103,POL 109 - 01,FYS: Democracy in America,SBA,11:10 am - 12:20 pm,Tom Burke,,None,TF
13791,POL 116 - 01,FYS: Authoritarianism,SBA,02:15 pm - 04:45 pm,Igor Logvinenko,,None,W
12153,POL1 200 - 01,American Politics,SBA,01:30 pm - 02:40 pm,Tom Burke,,None,TF
12279,POL1 200 - 02,American Politics,SBA,11:10 am - 12:20 pm,Nancy Scherer,,None,TF
14102,POL1 200 - 03,American Politics,SBA,01:30 pm - 02:40 pm,None,,None,MR
14099,POL1 303 - 01,The Politics of Crime,SBA,01:30 pm - 04:00 pm,Nancy Scherer,,None,T
14212,POL1 313 - 01,Amer Presidential Politics,SBA,09:50 am - 11:00 am,None,,None,MR
14101,POL1 319 - 01,Sem: Campaigns & Elections,SBA,01:30 pm - 04:00 pm,Marion Just,,None,R
13724,POL2 202 - 01,Comparative Politics,SBA,08:30 am - 09:40 am,Nadya Hajj,,None,MR
14107,POL2 204 - 01,Pol Econ of Dev & Underdev,SBA,08:30 am - 09:40 am,Craig Murphy,,None,TF
13226,POL2 205 - 01,Politics Europe & Euro Union,SBA,09:50 am - 11:00 am,Joel Krieger,,None,TF
11285,POL2 214 - 01,Soc Cause & Conseq Env Probs,SBA,09:50 am - 11:00 am,Elizabeth DeSombre,,None,MR
14104,POL2 217 - 01,Politics of Mid East&No Africa,SBA,11:10 am - 12:20 pm,Nadya Hajj,,None,MR
14100,POL2 306 - 01,Sem: Revolution,SBA,09:50 am - 12:20 pm,William Joseph,,None,W
11900,POL3 221 - 01,World Politics,SBA,11:10 am - 12:20 pm,Craig Murphy,,None,TF
13353,POL3 221 - 02,World Politics,SBA,01:30 pm - 02:40 pm,Katharine Moon,,None,MR
12742,POL3 224 - 01,International Security,SBA,09:50 am - 11:00 am,Paul MacDonald,,None,TF
14106,POL3 323 - 01,Int'l Pol Economy,SBA,11:10 am - 12:20 pm,Igor Logvinenko,,None,MR
14207,POL3 352 - 01,Sem: Small Wars & Insurgencies,SBA,02:15 pm - 04:45 pm,Paul MacDonald,,None,W
14105,POL4 249 - 01,"Politics Right, Left, Center",REP,02:50 pm - 04:00 pm,Laura Grattan,,None,MR
13720,POL4 340 - 01,American Political Thought,REP,11:10 am - 12:20 pm,Laura Grattan,,None,MR
13241,POL4 343 - 01,Sem: Democracy & Difference,REP,01:30 pm - 04:00 pm,Joel Krieger,,None,T
12812,PORT 103 - 01,Intensive Element. Portuguese,None,11:10 am - 12:20 pm; 11:10 am - 12:50 pm,Antonio Igrejas,,None,MTW; R
13793,PORT 241 - 01,Intro. to Lusophone Studies,LL,01:30 pm - 02:40 pm,Antonio Igrejas,,None,MR
10002,PSYC 101 - 01,Intro to Psychology,SBA,08:30 am - 09:40 am,Jeremy Wilmer,,None,TF
10085,PSYC 101 - 02,Intro to Psychology,SBA,09:50 am - 11:00 am,Stephen Chen,,None,TF
10001,PSYC 101 - 03,Intro to Psychology,SBA,11:10 am - 12:20 pm,Linda Carli,,None,TF
10020,PSYC 101 - 04,Intro to Psychology,SBA,08:30 am - 09:40 am,Kyra Kulik-Johnson,,None,MR
11600,PSYC 101 - 05,Intro to Psychology,SBA,09:50 am - 11:00 am,Kyra Kulik-Johnson,,None,MR
10075,PSYC 205 - 01,Statistics w/Lab,"QRF, SBA",08:30 am - 09:40 am,Beth Hennessey,,None,MR
10071,PSYC 205 - 02,Statistics w/Lab,"QRF, SBA",01:30 pm - 02:40 pm,Jonathan Cheek,,None,TF
10101,PSYC 205 - 1LA,LAB: Statistics,"QRF, SBA",09:50 am - 11:00 am,Beth Hennessey,,None,M
10055,PSYC 205 - 1LB,LAB: Statistics,"QRF, SBA",09:50 am - 11:00 am,Beth Hennessey,,None,R
10105,PSYC 205 - 2LA,LAB: Statistics,"QRF, SBA",02:15 pm - 03:25 pm,Jonathan Cheek,,None,W
10015,PSYC 205 - 2LB,LAB: Statistics,"QRF, SBA",03:35 pm - 04:45 pm,Jonathan Cheek,,None,W
14110,PSYC 208 - 01,Adolescence,SBA,11:10 am - 12:20 pm,Kristen Poston,,None,MR
10005,PSYC 210 - 01,Social Psychology,SBA,02:50 pm - 04:00 pm,Robin Akert,,None,TF
10059,PSYC 212 - 01,Personality,SBA,11:10 am - 12:20 pm,Julie Norem,,None,MR
11400,PSYC 213 - 01,Abnormal Psychology,SBA,11:10 am - 12:20 pm,Paul Wink,,None,MR
12855,PSYC 214 - 01,Evolution and Behavior,"EC, SBA",08:30 am - 09:40 am,Margery Lucas,,None,TF
14111,PSYC 218 - 01,Sensation and Perception,"EC, SBA",01:30 pm - 02:40 pm,Jeremy Wilmer,,None,TF
11601,PSYC 219 - 01,Biological Psychology,"EC, SBA",09:50 am - 11:00 am,None,,None,MR
14143,PSYC 225 - 01,Intro Black Psychology,SBA,07:00 pm - 09:30 pm,Ophera Davis,,None,W
10787,PSYC 299 - 01,Practicum in Psychology,None,None,None,,None,None
14109,PSYC 300 - 01,Sem:Tpc: How We Choose,None,09:50 am - 12:20 pm,Margery Lucas,,None,W
11399,PSYC 307R - 01,Res Meths in Develop Psych,SBA,08:30 am - 11:00 am,Tracy Gleason,,None,TF
14113,PSYC 310R - 01,Res Meths in Social Psych,SBA,01:30 pm - 04:00 pm,Angela Bahns,,None,MR
11309,PSYC 312R - 01,Res Meth Personality Psyc,SBA,01:30 pm - 04:00 pm,Julie Norem,,None,MR
13820,PSYC 319 - 01,Neuropsychology,"EC, SBA",01:30 pm - 04:00 pm,Margaret Keane,,None,R
14115,PSYC 325 - 01,Sem:Adolescent Psych,None,01:30 pm - 04:00 pm,Kristen Poston,,None,M
14112,PSYC 333 - 01,Clinical & Educ Assessments,SBA,01:30 pm - 04:00 pm,Paul Wink,,None,M
12647,PSYC 334 - 01,Sem: Psychology of Creativity,SBA,09:50 am - 12:20 pm,Beth Hennessey,,None,T
13315,PSYC 340 - 01,Organizational Psychology,SBA,02:50 pm - 04:00 pm,Linda Carli,,None,TF
14114,PSYC 346 - 01,Sem: Culture and Emotion,SBA,01:30 pm - 04:00 pm,Stephen Chen,,None,T
13203,PSYC 349 - 01,Sem: Nonverbal Communication,SBA,06:15 pm - 08:45 pm,Robin Akert,,None,R
10615,QR 140 - 01,Intro Quantitative Reasoning,QRB,08:30 am - 09:40 am,Corrine Taylor,,None,MWR
10616,QR 140 - 02,Intro Quantitative Reasoning,QRB,11:10 am - 12:20 pm,Jessica Polito,,None,MWR
10632,QR 140 - 03,Intro Quantitative Reasoning,QRB,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Jessica Polito,,None,MR; W
13730,QR 260 - 01,ApplDataAnalysis&StatInference,MM,09:50 am - 11:00 am,Cassandra Pattanayak,,None,TWF
14116,REL 104 - 01,Study of Hebrew Bible/Old Test,"HS, REP",09:50 am - 11:00 am,Edward Silver,,None,MR
13205,REL 108 - 01,Intro to Asian Religions,REP,11:10 am - 12:20 pm,T. James Kodera,,None,MR
13822,REL 114 - 01,FYS: Science & The Bible,REP,07:00 pm - 09:30 pm,Edward Silver,,None,M
14127,REL 119 - 01,"FYS: Hiroshima, Nagasaki & Yus","HS, REP",02:15 pm - 04:45 pm,T. James Kodera,,None,W
14213,REL 200 - 01,Theories of Religion,"REP, SBA",11:10 am - 12:20 pm,Stephen Marini,,None,TF
14117,REL 226 - 01,The Virgin Mary,"HS, REP",01:30 pm - 02:40 pm,Sharon Elkins,,None,MR
14220,REL 235 - 01,"Rel, Heal, and Med",REP,01:30 pm - 02:40 pm,None,,None,TF
14118,REL 240 - 01,"Romans, Jews, and Christians","HS, REP",02:50 pm - 04:00 pm,Barbara Geller,,None,TF
14120,REL 263 - 01,Formation of Islam Relig Trad,"HS, REP",08:30 am - 09:40 am,Louise Marlow,,None,TF
14214,REL 281 - 01,Sacred Arts of South Asia,"ARS, REP",06:00 pm - 08:30 pm,Neelima Shukla-Bhatt,,None,W
14121,REL 319 - 01,"Sem:Religion,Law & Politics","HS, REP",09:50 am - 12:20 pm,Stephen Marini,,None,W
14122,REL 323 - 01,Seminar: Feminist Theologies,"REP, SBA",02:15 pm - 04:45 pm,Sharon Elkins,,None,W
14123,REL 343 - 01,Sem: Apocalypse and Armageddon,REP,02:50 pm - 05:20 pm,Barbara Geller,,None,R
14221,REL 361 - 01,Sem: Studying Islam & Mid.East,"HS, REP",09:50 am - 11:00 am,Louise Marlow,,None,TF
11584,RUSS 101 - 01,Elementary Russian I,None,08:30 am - 09:40 am; 12:30 pm - 01:20 pm,Thomas Hodge,,None,TWF; F
11585,RUSS 201 - 01,Intermediate Russian I,LL,11:10 am - 12:20 pm,Alla Epsteyn,,None,TWF
10184,RUSS 251 - 01,Russ Lit in Trans: 19th C.,LL,09:50 am - 11:00 am,Thomas Hodge,,None,TF
10095,RUSS 301 - 01,Tpc: Moscow,LL,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Alla Epsteyn,,None,TF; W
14217,RUSS 333 - 01,19C Russian Narrative Poetry,LL,12:30 pm - 01:20 pm,Thomas Hodge,,None,R
14036,SAS 211 - 01,Sacred Arts of South Asia,"ARS, REP",06:00 pm - 08:30 pm,Neelima Shukla-Bhatt,,None,W
12245,SOC 137 - 01,FYS: Reading Sociology,SBA,08:30 am - 09:40 am,Peggy Levitt,,None,MR
12152,SOC 138 - 01,Soc Constr Deviance: Intro Soc,SBA,09:50 am - 11:00 am,Lee Cuba,,None,TF
11148,SOC 190 - 01,Intro Prob&Stat Methods w/Lab,"QRF, SBA",02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Phillip Levine,,None,MR; W1
11314,SOC 190 - 02,Intro Prob&Stat Methods w/Lab,"QRF, SBA",08:30 am - 09:40 am; 08:30 am - 09:40 am,Joseph Swingle,,None,TF; W2
11149,SOC 190 - 1LA,LAB: Prob&Statistical Methods,"QRF, SBA",09:50 am - 11:00 am,Phillip Levine,,None,T
11150,SOC 190 - 1LB,LAB: Prob&Statistical Methods,"QRF, SBA",11:00 am - 12:20 pm,Phillip Levine,,None,T
11151,SOC 190 - 2LA,LAB: Prob&Statistical Methods,"QRF, SBA",09:50 am - 11:00 am,Joseph Swingle,,None,W
11152,SOC 190 - 2LB,LAB: Prob&Statistical Methods,"QRF, SBA",11:10 am - 12:20 pm,Joseph Swingle,,None,W
11365,SOC 200 - 01,Classical Social Theory,SBA,09:50 am - 11:00 am,Markella Rutherford,,None,MR
14125,SOC 214 - 01,Profession & Vocation of Medic,SBA,11:10 am - 12:20 pm,Jonathan Imber,,None,TF
13322,SOC 246 - 01,U.S. Immigration ,SBA,11:10 am - 12:20 pm,Peggy Levitt,,None,MR
13823,SOC 249 - 01,"Celebrity, Fame, and Fortune",SBA,01:30 pm - 04:00 pm,Jonathan Imber,,None,T
13830,SOC 260 - 01,Dissent &Freedom of Expression,SBA,01:30 pm - 04:00 pm,Thomas Cushman,,None,M
14124,SOC 281 - 01,Morals and Markets,SBA,01:30 pm - 04:00 pm,Joshua McCabe,,None,R
12817,SOC 307 - 01,Learning by Giving,SBA,11:10 am - 12:20 pm,Lee Cuba,,None,TF
13324,SOC 308 - 01,Children in Society,SBA,09:50 am - 12:20 pm,Markella Rutherford,,None,W
10109,SPAN 101 - 01,Elementary Spanish I,None,08:30 am - 09:40 am,Nancy Hall,,None,TWF
10079,SPAN 101 - 02,Elementary Spanish I,None,09:50 am - 11:00 am,Eileen O'Connor,,None,MWR
10009,SPAN 201 - 01,Intermediate Spanish I,None,08:30 am - 09:40 am,Veronica Darer,,None,MWR
10065,SPAN 201 - 02,Intermediate Spanish I,None,11:10 am - 12:20 pm,Eileen O'Connor,,None,MWR
10100,SPAN 201 - 03,Intermediate Spanish I,None,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Inela Selimovic,,None,MR; W
10086,SPAN 201 - 04,Intermediate Spanish I,None,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Inela Selimovic,,None,MR; W
10060,SPAN 201 - 05,Intermediate Spanish I,None,08:30 am - 09:40 am,Jill Syverson-Stork,,None,TWF
10858,SPAN 201 - 06,Intermediate Spanish I,None,11:10 am - 12:20 pm,Jill Syverson-Stork,,None,TWF
10057,SPAN 241 - 01,Intro to Hispanic Studies,LL,08:30 am - 09:40 am,Joy Renjilian-Burgy,,None,MR
10096,SPAN 241 - 02,Intro to Hispanic Studies,LL,09:50 am - 11:00 am,Joy Renjilian-Burgy,,None,MR
11261,SPAN 241 - 03,Intro to Hispanic Studies,LL,09:50 am - 11:00 am,Evelina Guzauskyte,,None,TF
14053,SPAN 241 - 04,Intro to Hispanic Studies,LL,01:30 pm - 02:40 pm,Evelina Guzauskyte,,None,TF
11278,SPAN 242 - 01,Literary Genres Spain & Lat Am,LL,09:50 am - 11:00 am,Koichi Hagimoto,,None,TF
14055,SPAN 243 - 01,Spanish for Heritage Learners,LL,09:50 am - 11:00 am,Veronica Darer,,None,MR
14056,SPAN 254 - 01,Spanish Literature Since 1936,LL,01:30 pm - 02:40 pm,Carlos Ramos,,None,TF
14057,SPAN 263 - 01,"Women's Art & Activism,L-Amer",LL,11:10 am - 12:20 pm,Marjorie Agosin,,None,MR
