CRN,Course,Title,Distribution,Time,Professor1,Professor2,Location,Day
10088,ECON 101 - 02,Principles of Microeconomics,SBA,09:50 am - 11:00 am; 09:50 am - 11:00 am,Courtney Coile,,None,MR; W1
13430,ECON 101 - 03,Principles of Microeconomics,SBA,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Gauri Shastry,,None,MR; W1
10947,ECON 101 - 04,Principles of Microeconomics,SBA,08:30 am - 09:40 am; 08:30 am - 09:40 am,Patrick McEwan,,None,TF; W2
13431,ECON 101 - 05,Principles of Microeconomics,SBA,09:50 am - 11:00 am; 09:50 am - 11:00 am,Patrick McEwan,,None,TF; W2
10083,ECON 102 - 01,Principles of Macroeconomics,SBA,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Olga Shurchkov,,None,MR; W
10033,ECON 102 - 02,Principles of Macroeconomics,SBA,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,None,,None,TF; W2
12186,ECON 103 - 01,Intro Prob&Statistical Methods,"QRF, SBA",02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Phillip Levine,,None,MR; W1
11312,ECON 103 - 02,Intro Prob&Statistical Methods,"QRF, SBA",08:30 am - 09:40 am; 08:30 am - 09:40 am,Joseph Swingle,,None,TF; W2
11138,ECON 103 - 1LA,LAB: Prob&Statistical Methods,"QRF, SBA",09:50 am - 11:00 am,Phillip Levine,,None,T
11139,ECON 103 - 1LB,LAB: Prob&Statistical Methods,"QRF, SBA",11:10 am - 12:20 pm,Phillip Levine,,None,T
11140,ECON 103 - 2LA,LAB: Prob&Statistical Methods,"QRF, SBA",09:50 am - 11:00 am,Joseph Swingle,,None,W
11141,ECON 103 - 2LB,LAB: Prob&Statistical Methods,"QRF, SBA",11:10 am - 12:20 pm,Joseph Swingle,,None,W
11165,ECON 201 - 01,Intermediate Micro Analysis,SBA,11:10 am - 12:20 pm,Susan Skeath van Mulbregt,,None,MWR
